State,Policy_Date_Begin,Policy_Date_End,FamCapExist,FamCapExist_Notes,FamCapDate,FamCapDate_Notes,FamCapMonthChildExclu,FamCapMonthChildExclu_Notes,FamCapPrevExcluChild,FamCapPrevExcluChild_Notes,FamCapInclAfterXMonthsNonReceipt,FamCapInclAfterXMonthsNonReceipt_Notes,FamCapInclIfBornOrConceivedNonReceipt,FamCapInclIfBornOrConceivedNonReceipt_Notes,FamCapBenRedPerCappedChild,FamCapBenRedPerCappedChild_Notes,FamCapCappedChildInclElig,FamCapCappedChildInclElig_Notes,FamCapChildSupptIncExclu,FamCapChildSupptIncExclu_Notes,FamCapChildExemptIfNonconsensual,FamCapChildExemptIfNonconsensual_Notes,FamCapChildResidencyinUnitExempt,FamCapChildResidencyinUnitExempt_Notes,FamCapFirstChildtoMinorParExempt,FamCapFirstChildtoMinorParExempt_Notes,FamCapOtherExemptions,FamCapOtherExemptions_Notes,FamCapDatabookRecord,FamCapDatabookRecord_Notes,Notes
Alabama,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Alabama,1997/01/01,1998/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Alabama,1999/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Alabama,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Alaska,1996/01/01,1996/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Alaska,1997/01/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Alaska,1998/01/01,2013/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Alaska,2014/01/01,Ongoing,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,"Yes, all",,
Arizona,1996/01/01,1996/12/31,Yes,,11/01/1995,,10,,"Not in manual",,"Not in manual",,"Not in manual",,100,,No,,No,,"Not in manual",,No,,Yes,,n.a.,,"Yes, all",,"Capped child is still eligible for Food Stamps and Medicaid"
Arizona,1997/01/01,1997/07/31,Yes,,11/01/1995,,10,,60,,10,,either,,100,,Yes,,No,,Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
Arizona,1997/01/01,1997/07/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,No,,
Arizona,1997/08/01,1997/12/31,Yes,,11/01/1995,,10,,60,,10,,either,,100,,Yes,,No,,Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
Arizona,1997/08/01,1997/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,Yes,,n.a.,,No,,
Arizona,1998/01/01,1998/12/31,Yes,,11/01/1995,,10,,60,,10,,either,,100,,Yes,,No,,Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
Arizona,1998/01/01,1998/12/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,Yes,,n.a.,,No,,
Arizona,1999/01/01,1999/07/31,No,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,n.a.,,Yes,,n.a.,,No,,
Arizona,1999/01/01,1999/10/31,Yes,,11/01/1995,,10,,60,,10,,either,,100,,Yes,,No,,Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
Arizona,1999/11/01,2000/06/30,Yes,,11/01/1995,,10,"For former control group members, the child is excluded if born more than 10 months after the first eligibility determination after 8/1/99.",60,,"more than 12 consecutive months","A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits.",conceived,,100,,Yes,,No,,Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
Arizona,2000/07/01,2000/10/31,Yes,,11/01/1995,,10,"For former control group members, the child is excluded if born more than 10 months after the first eligibility determination after 8/1/99.","Always capped",,"more than 12 consecutive months","A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits.",conceived,,100,,Yes,,No,,Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
Arizona,2000/11/01,2003/06/30,Yes,,11/01/1995,,10,"For former control group members, the child is excluded if born more than 10 months after the first eligibility determination after 8/1/99.","Always capped","The child is considered benefit-capped until the month after the child's 18th birthday. A benefit-capped child may receive cash assistance prior to the child's 18th birthday if the child becomes a minor parent or is adopted.","more than 12 consecutive months","A child must be conceived after the unit has not received benefits for at least 12 consecutive months. The child must be born at least 22 months after the unit last stopped receiving benefits.",conceived,,100,,Yes,,No,,Yes,,No,,Yes,,"To children born within 10 months of the date the caretaker relative is informed that the family is subject to this provision.",,"Yes, all",,"The child will be included in the Standard of Need and will be considered a TANF recipient for other purposes, including Medicaid eligibility."
